iter	Passed	Remaining
493	733	751
494	734	749
495	736	748
496	739	748
497	741	747
498	743	746
499	744	744
500	746	743
501	748	742
502	750	741
503	752	740
504	755	740
505	756	738
506	758	737
507	759	735
508	761	734
509	763	733
510	764	731
511	766	730
512	767	728
513	768	727
514	770	725
515	771	724
516	773	722
517	774	720
518	776	719
519	781	721
520	783	720
521	784	718
522	785	716
523	787	715
524	788	713
525	790	711
526	791	710
527	793	708
528	794	707
529	796	705
530	797	704
531	798	702
532	800	701
533	801	699
534	803	698
535	805	696
536	807	696
537	809	695
538	811	694
539	813	692
540	814	690
541	815	689
542	817	687
543	818	686
544	819	684
545	821	682
546	823	681
547	824	680
548	826	678
549	828	677
550	829	676
551	831	674
552	833	673
553	834	672
554	836	670
555	837	669
556	839	667
557	841	666
558	842	664
559	844	663
560	845	661
561	847	660
562	848	658
563	850	657
564	851	655
565	853	654
566	855	653
567	856	651
568	857	649
569	859	648
570	860	646
571	862	645
572	863	643
573	865	642
574	866	640
575	867	638
576	869	637
577	871	636
578	873	634
579	874	633
580	876	632
581	878	630
582	879	629
583	881	627
584	883	626
585	885	625
586	886	623
587	887	622
588	889	620
589	890	619
590	892	617
591	893	616
592	895	614
593	896	612
594	898	611
595	900	610
596	901	608
597	903	607
598	904	605
599	906	604
600	907	602
601	909	600
602	910	599
603	911	597
604	913	596
605	915	594
606	917	593
607	918	592
608	920	591
609	922	589
610	924	588
611	925	586
612	927	585
613	930	584
614	932	583
615	934	582
616	936	581
617	938	580
618	940	578
619	942	577
620	944	576
621	945	574
622	947	573
623	949	571
624	950	570
625	951	568
626	953	567
627	954	565
628	956	564
629	958	562
630	959	561
631	960	559
632	962	558
633	964	556
634	965	554
635	966	553
636	968	551
637	969	550
638	971	548
639	972	546
640	973	545
641	975	543
642	976	542
643	978	540
644	979	539
645	980	537
646	981	535
647	983	534
648	984	532
649	985	530
650	987	529
651	988	527
652	989	525
653	991	524
654	992	522
655	993	521
656	995	519
657	996	517
658	997	516
659	999	514
660	1000	513
661	1001	511
662	1003	509
663	1005	508
664	1007	507
665	1008	505
666	1009	504
667	1011	502
668	1012	500
669	1014	499
670	1015	497
671	1016	496
672	1018	494
673	1019	493
674	1021	491
675	1022	490
676	1023	488
677	1025	486
678	1026	485
679	1028	483
680	1029	482
681	1030	480
682	1032	479
683	1033	477
684	1035	476
685	1036	474
686	1037	472
687	1039	471
688	1040	469
689	1042	468
690	1043	466
691	1044	465
692	1046	463
693	1047	461
694	1048	460
695	1050	458
696	1051	457
697	1053	455
698	1054	454
699	1055	452
700	1057	450
701	1058	449
702	1059	447
703	1061	446
704	1062	444
705	1063	443
706	1065	441
707	1066	439
708	1067	438
709	1069	436
710	1070	435
711	1071	433
712	1073	431
713	1074	430
714	1075	428
715	1077	427
716	1078	425
717	1079	424
718	1080	422
719	1082	420
720	1083	419
721	1084	417
722	1086	416
723	1087	414
724	1088	412
725	1090	411
726	1091	409
727	1092	408
728	1093	406
729	1095	405
730	1096	403
731	1098	402
732	1099	400
733	1100	398
734	1102	397
735	1103	395
736	1104	394
737	1105	392
738	1107	391
739	1110	390
740	1112	388
741	1113	387
742	1114	385
743	1116	384
744	1117	382
745	1119	381
746	1120	379
747	1122	378
748	1124	376
749	1126	375
750	1127	373
751	1129	372
752	1131	371
753	1132	369
754	1134	368
755	1136	366
756	1137	365
757	1139	363
758	1141	362
759	1142	360
760	1144	359
761	1145	357
762	1147	356
763	1148	354
764	1149	353
765	1151	351
766	1152	350
767	1154	348
768	1155	347
769	1157	345
770	1158	344
771	1159	342
772	1161	341
773	1162	339
774	1164	338
775	1165	336
776	1167	335
777	1168	333
778	1170	331
779	1171	330
780	1172	328
781	1174	327
782	1175	325
783	1176	324
784	1178	322
785	1179	321
786	1181	319
787	1182	318
788	1183	316
789	1185	315
790	1186	313
791	1187	311
792	1188	310
793	1190	308
794	1191	307
795	1196	306
796	1197	304
797	1198	303
798	1199	301
799	1201	300
800	1202	298
801	1203	297
802	1205	295
803	1206	294
804	1207	292
805	1209	291
806	1210	289
807	1212	288
808	1213	286
809	1214	284
810	1216	283
811	1217	281
812	1218	280
813	1220	278
814	1221	277
815	1223	275
816	1224	274
817	1226	272
818	1227	271
819	1228	269
820	1230	268
821	1231	266
822	1232	265
823	1234	263
824	1235	262
825	1237	260
826	1238	259
827	1240	257
828	1241	256
829	1242	254
830	1244	253
831	1246	251
832	1248	250
833	1249	248
834	1251	247
835	1252	245
836	1254	244
837	1255	242
838	1257	241
839	1259	239
840	1260	238
841	1261	236
842	1262	235
843	1264	233
844	1265	232
845	1266	230
846	1268	229
847	1269	227
848	1270	225
849	1271	224
850	1273	222
851	1274	221
852	1275	219
853	1277	218
854	1278	216
855	1279	215
856	1280	213
857	1282	212
858	1283	210
859	1284	209
860	1286	207
861	1287	206
862	1288	204
863	1290	203
864	1291	201
865	1292	200
866	1294	198
867	1295	197
868	1296	195
869	1298	193
870	1299	192
871	1300	190
872	1302	189
873	1304	188
874	1305	186
875	1307	185
876	1308	183
877	1310	182
878	1311	180
879	1313	179
880	1315	177
881	1317	176
882	1319	174
883	1320	173
884	1322	171
885	1324	170
886	1325	168
887	1327	167
888	1329	165
889	1331	164
890	1333	163
891	1335	161
892	1336	160
893	1338	158
894	1340	157
895	1342	155
896	1343	154
897	1345	152
898	1346	151
899	1348	149
900	1350	148
901	1352	146
902	1355	145
903	1356	144
904	1358	142
905	1359	141
906	1361	139
907	1362	138
908	1364	136
909	1365	135
910	1367	133
911	1368	132
912	1370	130
913	1372	129
914	1373	127
915	1375	126
916	1376	124
917	1378	123
918	1379	121
919	1381	120
920	1382	118
921	1383	117
922	1385	115
923	1387	114
924	1388	112
925	1390	111
926	1391	109
927	1393	108
928	1394	106
929	1396	105
930	1398	103
931	1400	102
932	1402	100
933	1403	99
934	1405	97
935	1407	96
936	1409	94
937	1410	93
938	1412	91
939	1413	90
940	1415	88
941	1417	87
942	1419	85
943	1420	84
944	1421	82
945	1423	81
946	1424	79
947	1426	78
948	1427	76
949	1429	75
950	1430	73
951	1432	72
952	1434	70
953	1435	69
954	1436	67
955	1438	66
956	1439	64
957	1440	63
958	1442	61
959	1443	60
960	1445	58
961	1447	57
962	1448	55
963	1450	54
964	1451	52
965	1452	51
966	1454	49
967	1455	48
968	1457	46
969	1458	45
970	1459	43
971	1461	42
972	1463	40
973	1464	39
974	1465	37
975	1467	36
976	1468	34
977	1469	33
978	1471	31
979	1472	30
980	1473	28
981	1475	27
982	1476	25
983	1478	24
984	1480	22
985	1481	21
986	1483	19
987	1484	18
988	1485	16
989	1487	15
990	1488	13
991	1489	12
992	1491	10
993	1493	9
994	1495	7
995	1496	6
996	1497	4
997	1499	3
998	1501	1
999	1502	0
