iter	RMSE
0	0.4341136023
1	0.4283507361
2	0.4228070136
3	0.4173954862
4	0.4120219172
5	0.4076386526
6	0.4040241003
7	0.3995068819
8	0.3958476458
9	0.3920993816
10	0.3868523126
11	0.3825516767
12	0.3786520313
13	0.3732745127
14	0.3688692875
15	0.3647965987
16	0.360723466
17	0.356752529
18	0.3524353252
19	0.3485350594
20	0.3443453372
21	0.341203307
22	0.3365315449
23	0.3324008334
24	0.328663009
25	0.3259291992
26	0.3232602991
27	0.318688939
28	0.3153599168
29	0.3113778795
30	0.3085961759
31	0.3057958862
32	0.3034098619
33	0.3004662526
34	0.2981626462
35	0.2945647554
36	0.2908632972
37	0.2888314183
38	0.2863704729
39	0.2844451535
40	0.2815605199
41	0.278245763
42	0.2747980065
43	0.2717672754
44	0.2693612437
45	0.2671137641
46	0.2649356135
47	0.2621201038
48	0.2599695336
49	0.2575243175
50	0.2553280294
51	0.2529032643
52	0.2504040028
53	0.2464154507
54	0.2442183255
55	0.2417108643
56	0.239359971
57	0.2375418766
58	0.2351413456
59	0.2328259273
60	0.2302902363
61	0.2281312472
62	0.2263084546
63	0.224767323
64	0.222460931
65	0.2191725691
66	0.2175955156
67	0.2153819495
68	0.2138187616
69	0.2124121543
70	0.2108182162
71	0.2090501331
72	0.2072053817
73	0.2048999129
74	0.2030070396
75	0.201799125
76	0.1999589271
77	0.1980828959
78	0.1964479245
79	0.1946489472
80	0.1930132745
81	0.1912338914
82	0.1897044541
83	0.1885136431
84	0.1868181803
85	0.1857677864
86	0.1843136697
87	0.1827330674
88	0.1820311507
89	0.1805394001
90	0.1789229976
91	0.1772886343
92	0.1758787822
93	0.1747569702
94	0.1735995703
95	0.171987822
96	0.1709499341
97	0.1691921242
98	0.1676736332
99	0.1660828879
100	0.1652128322
101	0.164576088
102	0.1632506774
103	0.1618988092
104	0.1607936208
105	0.1597023851
106	0.1583472129
107	0.1570936194
108	0.1553317112
109	0.154058064
110	0.1529293711
111	0.1519856615
112	0.151204955
113	0.150064084
114	0.1486927164
115	0.1483518131
116	0.1472870881
117	0.1462921989
118	0.1448246358
119	0.1437245005
120	0.1426632258
121	0.1411913848
122	0.1399347827
123	0.1388388388
124	0.1377442446
125	0.1365958823
126	0.135478385
127	0.1345045422
128	0.1333212011
129	0.1325564688
130	0.1311631522
131	0.1303534283
